member_name,top_keywords
δασκαλακης παναγιωτη γεωργιος,"σαν, ελληνισμ, μνημ, εσταθ, παρανοηθ, τακτικιστ, επανεμφανις, πανταχοθ, σωβινισμ, 19ης, διδαχθειτ, εμφανισθ, εξηγω, αναχωματ, διευρυνετ, ακριτιδ, ποντιακ, αντικει, γενοκτονι, αμφισβητειτα"
δεικτακης νικολαου γεωργιος,"λαικιζουμ, δωσουμ, παραγωγ, ποτ, πιθανον, ικανοποιης, πνευμ, αγκαθ, αποκαλου, ελαχιστοποιηθ, τυποποιητ, ειδ, αποδοχ, εκφραζ, αποσταγματοποι, καζανι, μεταποιητ, σαρανταοκταωρ, συγχωρησω, συναινες"
δενδιας σπυριδωνος νικολαος-γεωργιος,"μετασχηματιστ, δικαιοσυν, αφαιρες, ελληνικ, καμψ, εξουσι, ρολ, νομοθετικ, ζειτ, διατυπως, πας, δημοκρατικοτητ, λεκτικ, αστυνομι, καταθετω, κοινωνι, ευρωπαικ, αρχ, δε, διαφανει"
δερμεντζοπουλος αλεξανδρου χρηστος,"αναθεωρης, συνταγματ, αναθεωρητικ, πολιτευματ, αλλαγ, συνταγματικ, στεν, σημαντικ, διαμορφ, αποτελεσματικ, εκλογ, καταδεικνυ, διαδικασι, αποτελ, ελλην, διευκολυνς, ελληνικ, δικαστ, δυνατοτητ, ιδεολογικ"
δερμεντζοπουλος χρηστου αλεξανδρος,"ειδαμ, στρατευσιμ, υποχρεως, στρατιωτικ, στρατολογι, προχωρουμ, ακουσαμ, παρεκκλις, εκπληρως, καθοριζοντα, δικαιουντα, προεκλογικ, πολιτ, αοπλ, στρατολογικ, στρατευς, καθοριζετα, ενοπλ, εξαγγελθ, μει"
δεσυλλας γεωργιου αλεξανδρος,"μεταταξ, αδεδ, υπαλληλ, υπηρεσιακ, πλεοναζ, προσωπικ, μεταθες, αποσπας, συμβουλι, πλεοναζοντ, 56, υπηρεσι, προεδρι, κριτηρι, δημοσι, προσφυγ, αποδυναμων, προεβλεπετ, υπαρχους, 1876"
δημαρας νικολαου ιωαννης,"αεροπορι, ολυμπιακ, εξεταστικ, υπηρεσι, ευθυνοντα, ενισταντα, eurocontrol, δευτερολογησω, κωνσταντινιδ, πανελληνι, μηχανικ, απριλ, διαπλεκ, 1990, απλ, παμ, συλλογ, πρωιν, ευθυν, μεγ"
δημας kωνσταντινου σταυρος,"διυλιστηρι, ιδιωτικοποιης, rich, επιχειρης, προβληματικ, δολαρι, ελλειμματ, κρινετ, εκατ, πραγματι, ημερομηνι, παρακολουθειτ, προβληματικοποιης, επιβεβαιως, πασοκ, πιο, ελδ, σλογκ, πεφτ, διαφορ"
δημας σταυρου χριστος,"μακεδονικ, βορει, μακεδονι, διαστρεβλωνετ, μακεδον, συνδιασκεψ, αναγνωριστηκ, συνηθιζετ, σκοπιαν, 1977, εθνικοτητ, προσδιοριζοντα, οη, γειτονικ, ονομασι, υιοθετ, κερδιζ, δυστυχως, μονοπωλι, γλωσς"
δημητριαδης κλεανθη δημητριος,"επενδυς, δημοσι, σταθερ, μεγεθυνς, αναπτυξιακ, 2018, διατηρησαμ, πλεονασμ, παραταξ, σταθεροτητ, 2017, εγχωρι, στρατηγικ, συμφωνης, οικονομι, εργαλει, εκποιης, προσημ, επιβεβαιωνετα, πλεονασματ"
δημητριος ελευσινιωτης,"εθνοφυλακ, ταγματ, κυς, ενοπλ, παρερμην, παραμεθορι, καθοριζ, εργ, επιχειρησιακ, δυναμ, 1295, μεταφραζουμ, υπεισερχοντα, αμυν, επιχειρης, απαιτης, διαβαθμις, ευπροσδεκτ, διασταλτικ, αναλυσω"
δημητριος κρεμαστινος,"7μελές, φρας, ενασχολης, προσθετουμ, επιστημονικ, αιτιολογ, μελ, εκαβ, νοσοκομειακ, αποδεδειγ, προσθεσουμ, αντικαταστας, επειγους, συμβουλι, επιτρεπετα, επιστημον, συνεχιζ, ιατρικ, γιατρ, κλπ"
δημητριος λιακος,"προοδευτικ, κοινωνικ, λογιστηρι, λυς, ανακτης, πεδι, ανθρωπ, ρητορικ, προυπολογισμ, παγκοσμι, δυναμ, μεταρρυθμιστικ, επιπεδ, μακροπροθεσμ, στελεχ, αξιοπιστ, σημαντικ, αδικι, τας, διεθν"
δημητριος μανικας,"ημερολογιακ, προσληψ, συμπιπτ, προσπαθησω, θεσω, τεθ, ρητ, αρχηγ, εκτας, υποψ, μηπως, διαρκει, υπουργικ, χρονικ, αναφερετα, ισχυ, συμβουλι, προκειτα, περισς, θες"
δημητριος μαρδας,"διερευνουμ, κρινοντα, γραπτ, δαπαν, προυπολογισμ, αποπληρων, απαντησαμ, μεταθετουμ, χρονικ, γνωριζετ, απαραιτητ, 125, πορ, διαστημ, ακολουθηθηκ, ταξ, μηνιαι, μεταθες, τεσσαρ, επτακοσι"
δημητριος οικονομου,"προεγκρις, μελετ, ερμηνει, μπορους, παραλογ, υλοποιης, νοημ, επηρεαζετα, μελετητικ, διαφωνης, αχρηστ, εγκρις, περιττ, σκεπτικ, περιπ, νομικ, χρειαστηκ, τεχνικ, προσδιοριζ, απαιτουντα"
δημος παπαδημητριου,"νομοτεχνικ, ομολογουμενως, αρχισω, προαναφερθ, παπαδημητρι, βελτιως, δημητρ, προτ, διασπορ, εξαρχ, απευθυνομα, περιστας, ελλην, εισηγης, 21, 22, καταθετ, παρους, καταθεσω, αναφερω"
δημοσχακης κωνσταντινου θεοφανης,"θαυματοποι, οικονομι, θαυμας, στρως, δανεις, λα, απλοχερ, αμερικ, περιμεν, υπομον, εδως, αφιχθ, βοηθουσατ, ευελπιστειτ, ιωβει, λεφταδ, λογιδι, μαρικει, πανεξυπν, πλειοδοτησετ"
δημοσχακης σπυρου αναστασιος (τασος),"ευρηματ, εβρ, εκθεσιακ, ορεστιαδ, σκοπευετ, αναδειξ, στεγαστρ, ταφικ, τυμβ, εργ, κελυφ, μελετ, ανατολικ, θρακ, νομαρχι, συντηρης, ανασκαφ, μακεδονι, υλικ, κατασκευ"
διαμαντιδης δημητριου ιωαννης,"ασφαλει, λι, πλοι, οχηματ, επιβατ, λιμενικ, σαλαμιν, κατοικ, επιβαρυνοντα, περιοχ, νησι, παρατηρης, σταθοπουλ, λιμαν, ιδιωτ, ναυτικ, διευκρινισθ, ρεστ, εμπορικ, συγκοινωνι"
διαμαντοπουλος περικλη ευαγγελος,"αγροτικ, καστορι, φτας, ιχνηλασιμοτητ, πγ, εργαλει, ελγ, πληθυσμ, τραπεζ, αγροτοδιατροφικ, συμπλεγμ, εθιαγ, καλλιεργης, μεθοδ, σπορ, δημητρ, υπερογκ, κοσμ, ασφυκτικ, μιλω"
διαμαντοπουλου δημητριου αννα,"βιομηχανι, επαγγελματικ, επιχειρης, διευθυνς, προγραμμ, αξιολογητ, δικαιωματ, επιλογ, ιρλανδι, εξειδικευ, περιφερειακ, ποιοτητ, υλοποιηθ, παπαφιλιππ, διαταγματ, συναινες, επιχειρησιακ, δασμ, παιδει, σοβαρ"
διγαλακης βασιλειου βασιλειος,"φοιτητ, μεθοδ, αποστας, πανεπιστημι, εξ, εξεταστ, υπολογιστ, μαθηματ, συγκλητ, εκπαιδευς, συμφων, προγραμμ, αποκλεισμ, διαμορφων, παραδοσιακ, ου, ενδιαφεροντ, ανοιξ, συμπληρως, μαι"
δουκας γεωργιου πετρος,"αποκτησαμ, ολυμπιακ, ξοδεψατ, συγχαρητηρι, εργ, αγων, εξοπλισμ, επιστολ, σπαταλ, συγχρηματοδοτ, πληρωσουμ, τελευται, 45000000, εκπλειστηριαστηκ, συνετ, εργαστηρι, 3000000, εργαστηκ, τοκ, πικπ"
δραγασακης ανδρεα ιωαννης,"θεματ, λιμανι, πειραι, εργαζ, προβλημ, ελεγχ, υπαρξ, ρυθμις, προβληματ, τελικ, λιμαν, σκοπι, μηχανισμ, βελτιως, χρηματιστηρι, ρολ, αποψ, ιδιωτικοποιης, κατοικι, νομαρχι"
δρεττακης γεωργιου εμμανουηλ,"93, κατεθες, εγγραφ, ακολουθ, υπ, 22393, δοθηκ, απαντης, αρχει, αναφορ, απαντ, αρ, σχετικ, πληροφορουμ, 22, δημοσιευμ, ζητ, κοκκινοβασιλ, κιλκ, νς"
δριβελεγκας κωνσταντινου ιωαννης,"αγορητ, 2014, ειδικ, ξηροτυρ, αγορητρι, μαρτι, αρωματικ, οριζ, δημοκρατικ, συζητηθ, αλκοολ, θεσσαλονικ, αρβανιτ, ραχηλ, ανεξαρτητ, κλιματικ, συμπεριφεροντα, εργασιασμον, τσουκαλ, φυτ"
δριτσας παναγιωτη θεοδωρος,"κατευθυνς, εγκληματ, ανθρωποτητ, ρυθμις, αντιρρησι, σχετικ, πολεμ, πλοηγικ, ειδικ, ζητηματ, πιο, γενικ, ποντιακ, διαγωνισμ, ελληνισμ, ελληνικ, ημεροπλοι, περιπτως, σχες, αναγνωρις"
δρυς γερασιμου γεωργιος,"γεωργι, προυπολογισμ, συγγρ, κτηματ, 1992, αγροτικ, δαπαν, αγροτ, αυξης, λογιστ, φοροτεχνικ, ταξ, ομορ, δραχμ, κοινοτικ, 1991, αναγκαι, προιοντ, οικονομι, αεπ"
εβερτ αγγελου μιλτιαδης,"γιατρ, ιατρει, αγροτικ, καναμ, δωσαμ, ειδικοτητ, φωτοπουλ, αφθον, κεν, στρατευσιμ, βρισκετ, ροκοφυλλ, δυνατοτητ, προσληφθ, υγει, προσληψ, θες, μαν, ξεχας, υπηρξ"
εμινιδης κωνσταντινου σαββας,"επιχειρηματικοτητ, ετε, δανει, τραπεζ, ταμει, 250000000, 800000000, χαμηλοτοκ, αναπτυξιακ, εδρ, αναπτυξ, ρευστοτητ, εσπα, προβολ, ευνοικ, προκηρυξ, επενδυτικ, 180000000, 35000000, 460000000"
εμμανουηλιδης ιωαννη δημητριος,"παραβατικ, πολιτισμικ, καταστροφ, ανθρωπ, μακροχρον, φορτσακ, τιμωρητικ, επιεικει, κασσανδρ, λυπηρ, κορων, πιστευ, στας, ευαισθησι, πολιτισμ, ανθρωπιν, εξουσι, βαθι, βενιζελ, δεικτ"
εξαρχος θεοδωρου βασιλειος,"επιβεβαιωνετ, νηφαλιοτητ, μεχρ, διεξαγετα, εξαρς, ελεγ, κατανοητ, υπενθυμισω, συμφωνης, κατασκευ, εξω, βαθμ, ορις, εργ"
ευθυμιος χριστοδουλου,"αποκλειω, δυνατοτ, γινοντους, συναλλαγματικ, δυσκολ, συζητουμ, τελειων, αισιοδοξ, θεματ, ρεαλιστικ, συνεπ, καταστας, συμπερασμ, χρειαστ, γενικ, εφαρμοζ, 4909παίρνουν, αργουσαμ, εξακολουθησουμ, παρεξηγουμ"
ευθυμιου δημητριου πετρος,"συνθηκ, τραυματιστ, ιστορι, χρ, πολεμ, καιρι, προνομι, ευθυν, συμβολ, εθνικ, 2102009, αποκαταστησω, γροσι, εβαιν, ηροδοτ, θουκυδιδ, καταφανηκ, υποστασιοποιης, αξιοπιστι, δημοκρατι"
ευμοιριδης γεωργιου κωνσταντινος,"κτηνιατρ, φαρμακ, πουλα, ζω, κτημ, κτηνιατρικ, εξεταζ, 120από, εξεταζω, ψοφης, αστικ, περιοχ, εξετασω, σταβλ, παρεμφερ, πωλ, μαγαζ, διαλεξ, κατεβ, ανεβας"
εφραιμογλου δημητριου λαζαρος,"πετρελαιοειδ, οιοδηποτ, υγρ, συγκροτηματ, τελωνειακ, 7351μιεύουν, 794, αποτασελιδ, 343, αποταμιευ, δυναντα, ελευθερ, παραγωγ, ισχυ, ερθουμ, εταιρι, εοκ, εναρμονις, προτεινω, απασχολ"
ζακολικος χρηστου παυσανιας,"επιχειρησιακ, αποβατικ, αλωνιζ, βλεψ, κανατ, τουρκι, ακαταλληλ, στολ, επιθετικ, τουρκ, τουρκικ, νατ, ευθυν, αιγαι, 2286ότι, fir, επιλεγαμ, επιτεθ, μεμφεσθ, φέρoυμε"
ζαννας γρηγοριου ζησης,"νικολοπουλ, αναφορ, επιστολ, νικολα, αχαι, ας, πολυτεκν, παρακαλεισθ, αιτημ, προωθης, ανασυγκροτης, ηλει, παρακαλουμ, εθελοντ, θρησκευματ, κατεθες, gennet, ελο, οικογεν, γιανν"
ζαφειροπουλος γεωργιου ιωαννης,"εκκαθαρις, δραχμ, οργανισμ, εκατον, εικοσι, finance, ετβ, αφαιρειτα, υποχρεωθηκ, πληρωθηκ, αφαιρ, περιελθ, θυγατρικ, παπαγεωργι, διατεθ, πραγματοποιης, επρεπ, δικηγορ, αναθες, φθαν"
ζαφειροπουλος μιχαηλ επαμεινωνδας,"κλας, δοξαρ, χορευουμ, ολυμπιονικ, παρακολουθειτα, σεγ, σακουλ, δικηγορ, ανδρεουλακ, εισαγγελε, ποινικ, πραγματι, αγγιζ, νομοθετημ, λα, κυρ, διωξ, εκαστοτ, συνεδρι, 672μεταξύ"
ζαχαρακης θεοδωρου κωνσταντινος,"πληροφορι, παρανομης, σκοπιαν, επεμβ, εργαστ, θελης, σαν, δρομ, παπανδρε, επιστολ, ακολουθουμ, ειρην, συνδικαλιστ, δυναμικ, δεχομαστ, θελ, κκε, δε, επιβολ, πλην"
ζαχαριας παναγιωτη κωνσταντινος,"υγει, παροχ, force, task, οριζοντι, υποκρυπτ, φανερ, εικοστ, φροντιδ, 2013, υπαλληλικ, claw, back, ημερολογιακ, στo, ολοφανερ, δρας, μεταρρυθμις, εξαγγελθ, δαπαν"
ζειμπεκ χασαν χουσειν,"εκπαιδευτικ, μειονοτικ, κες, σχολικ, εκπαιδευς, συντονιστ, κεδδ, ανασυγκροτης, επιμορφως, πεκ, ομαλοποιης, προγραμματ, εργ, υποστηριζ, διδασκοντ, γνωματευς, μαθητ, αποτιμης, υποστηριξ, ξανθ"
ζηση αθανασιου ροδουλα,"αγορητ, συναγερμ, ορθοδοξ, κομμουνιστικ, ειδικ, συζητειτα, κωλυματ, διαγραφετα, 109, λαικ, ομαδ, αθανασι, τζελεπ, λαβ, τησνομοθετικ, συνολ, ελλαδ, επταμις, χρυσανθακοπουλ, 103"
ζιωγας ηλια ιωαννης,"μεταπτυχιακ, σπουδ, διδακτρ, προγραμματ, εξωραι, φοιτητ, σει, ενως, διδακτορ, υπογραμμιζετα, ιδρυματ, τμηματ, γνως, λειτουργι, ευρωπαικ, αξιολογης, νομιμοποιειτα, προσαρμογ, αμοιβ, επιχειρηματικ"
ζωης κωνσταντινου χρηστος,"αεροπορι, ολυμπιακ, εργ, ασθενοφορ, εμπιστοσυν, περιελθ, επικεφαλ, δωσω, ερειζοντα, κυβερνητικ, αμφιβολι, αρδευτικ, επιχειρηματ, αιτωλοακαρνανι, σπασιμ, επιτρεψετ, ταξινομης, εξεταστικ, οπωσδηποτε, ενστας"
ζωιδης ηλια νικολαος,"περιβαλλοντικ, αδειοδοτης, α2, α1, σκανδαλ, διαδικασι, εξεταστικ, εκτας, περιβαλλοντ, κατηγορι, πολιτ, δημοσι, προασπις, στυλιανιδ, λιμν, μεθοδευς, διακινηθηκ, μεναμ, υποκατηγορι, περιγραφ"
ηλιοπουλος κωνσταντινου παναγιωτης,"παιδει, σταυροφορι, τζιχαντιστ, αξιολογησετ, μουσουλμαν, διαγραψετ, παπαθεοδωρ, παραξ, αξιολογησουμ, σχολιαζ, δημαρ, αυγ, εθν, εθνικ, μαρτι, χρυς, 25η, αλφαβητ, ανατιναζετα, ανατιναχθ"
θαλασσινος πετρου θαλασσινος,"σαμ, προυπολογισμ, οικονομι, στοχευς, πυθαγορει, 2009, στηριξ, υπευθυν, οικονομικ, πιστως, επιδομ, αξιζ, ασθεν, εργ, δεσμ, συνοπτικ, αρχαιολογικ, κοινοτικ, αναπτυξιακ, αναφερθω"
θανος ιωαννη δημητριος,"ακτινοβολι, επιδρας, κινητ, συχνοτητ, ηλεκτρομαγνητικ, θερμικ, τηλεφων, ατομ, αναπηρι, 2003, κεντρ, διαγνωστ, ευαισθητοποιης, ερευν, οδοντιατρικ, προκαλες, δημοσκοπης, επιμεινω, υγει, σχεδιασμ"
θελεριτη παναγιωτη μαρια,"κινητικοτητ, δημοσι, διοικης, υπαλληλ, οφειλουμ, τομ, αναδιαρθρως, κλαδολογι, πραγματικ, αναγκ, αυτοδιοικης, μεταρρυθμις, συστημ, διαφανει, μετακινης, πλαισι, σειρ, αναφερθουμ, μεταταξ, απαιτουντ"
θεμιστοκλης ξανθοπουλος,"παραχωρησιουχ, αγρινι, κομβ, οδ, ιονι, περιβαλλοντικ, μακιαβελικ, εκπληξ, δρομ, καιαφ, φιλιν, εργ, λειπ, μηχανικ, ακολουθησαμ, διοδι, σπηλιοπουλ, παραχωρης, 80, καθηγητ"
θεοδωρακης γεωργιου μιχαηλ (μικης),"μουσικ, ορχηστρ, οπερ, τεχν, δρχ, πολιτιστικ, 0106τί, αλαλ, συνδιοικειτα, δινουμ, ελλειπ, μερι, σκεψ, επιζ, 11, 510, καταπληξ, ψιχι, φιλοδοξι, αισθητικ"
θεοδωρακης παναγιωτη σταυρος,"σουδ, αμυν, σχολει, αμυντικ, τσιπρ, εκσυγχρονισμ, αποσπας, ανταλλαγματ, καθηγητ, δυναμ, αεροσκαφ, δασκαλ, αρκουμαστ, εθνικ, ψεματ, πανεπιστημι, ενοπλ, κομματικ, αμερικ, αποφασιζ"
θεοδωρος κασσιμης,"επαγγελματ, τουριστικ, αρχην, σχολ, παρακολουθησω, ημεδαπ, μαγκριωτ, αρχισουμ, ξεχνατ, λογικ, 1986, ροδ, πτυχι, διαγραφετα, ευχαριστησω, ισοτιμ, περιμεναμ, οπωσδηποτε, αλλοδαπ, ψηφιζ"
θεοδωρος κατριβανος,"αποβλεπ, διζ, τελεσφορης, 150, εξορμης, ματαιωθ, γνωστ, δυνατ, αρνουμα, επιφανειακ, προτας, ματαιως, καταγγελλω, συμφωνι, δημιουργης, δεχθω, επιδιωκετα, επαναφορ, ατμοσφαιρ, συν"
θεοδωρου αλεξανδρου χρηστος,"εφετ, ανταγωνισμ, καταναλωτ, λειτουργησουμ, ποιοτητ, διαπιστ, επεκτεινουμ, επισκεφθηκ, εξηγγειλ, ενισχυς, παρατηρητηρι, ακουσω, ειδ, τιμ, αγορ, ακουγ, κυκλοφορ, προστατευς, υγι, ελλην"
θεοχαρης αθανασιου θεοχαρης (χαρης),"δικαιοσυν, φτωχει, πληροφοριακ, κοινωνικ, ψεμ, στοχ, 2017, αυξης, γινοντους, 27, ακαταλληλ, κοστ, ανεργ, αλληλεγγυ, αποδειχθηκ, συμπολιτευς, προσληψ, συστημ, αποκλεισμ, αντισυνταγματικ"
θεοχαροπουλος στεφανου αθανασιος,"εκπαιδευς, προσφυγ, μουζαλ, διαπολιτισμικ, οη, προσφυγικ, εκπαιδευτικ, ιδιωτικ, μαθητ, σχολει, παιδι, ρο, αριστει, επιπεδ, ευρωπαικ, δαπαν, κρις, ζητηματ, ελληνογλωσς, ιερουσαλημ"
θωμοπουλος πετρου ιωαννης,"αιγιαλ, κλαδ, παραλι, περιλαμβανετα, βιομηχανικ, 27, εξειδικευω, νομοθετω, υδατοκαλλιεργητικ, ιχθυοκαλλιεργ, παρακει, πυθ, εμπορικ, ανασταλτικ, αναφερ, αιτημ, ναυτιλιακ, 30, δυναμικ, μπ"
ιωαννης μουζαλας,"σπιτακι, καθαρις, unhcr, κατασκευ, αφρικ, φιλοξενι, camp, echo, ντυ, νυφουλ, ξανανοιξ, προαναχωρησιακ, δικι, βουδουρ, αναθες, κικιλι, χτις, διατεθει, ζητηθηκ, συντεταγ"
ιωαννης παλαιοκρασσας,"φορολογικ, αυξης, φοροδιαφυγ, διασταυρως, περιειχ, δαπαν, εσοδ, καταφεραμ, εκατ, εδηλων, κεπυ, αυτοκινητ, συντελεστ, εγγυης, καναμ, αυξησαμ, δειγματοληπτικ, κληρονομησαμ, τομ, χρε"
ιωαννης σουλαδακης,"τιμολογι, υποβαλ, φας, αποκαταστας, ηλει, ποταμ, αχαι, πραγματικοτητ, νερ, αποκαταστησαμ, παροχετευς, 100, 40, ζημι, επαλληλ, 4500, ανταποκρινοντ, γεωμετρικ, διαμετρ, 8000"
ιωαννης στουρναρας,"ελεγχ, φορολογ, φορολογικ, περιπ, 2009, πρωτογεν, ευρωζων, ελεγκτ, φοροδιαφυγ, τελ, taxis, αεπ, εμβασματ, δημοσι, πλεονασμ, εικοσι, αποκρατικοποιης, σδο, τριαντα, εκδοθ"
ιωαννιδης ιωαννη φοιβος,"διωξ, ασυλι, εξαιρεσατ, μηνυς, προκαταρκτικ, εισαγγελε, περιπτως, καταστροφ, ροκ, αδικηματ, νομικ, δημ, αλλαξουμ, εξετας, αβασιμ, ποινικ, επιχορηγης, δικαστηρι, ratio, αντισυνταγματικοτητ"
καββαδας ιωαννη αθανασιος,"δρομολογι, γραμμ, εγγυαστ, δεσμευεστ, διαγωνισμ, καλοκαιρ, ναυλ, αποκομ, κοβετ, νησι, αεροπορικ, αγον, χειμων, απομονωνετ, εκθεσατ, επιχειρηματ, ακτι, τιναχθ, σητει, πλακιωτακ"
καζακος αναστασιου κωνσταντινος,"ανδρ, λεηλατηθ, αθλητισμ, εμπορ, πυραμιδ, χορηγι, γιγαντιαι, φιλοσοφι, δρομ, τεραστι, κερδ, αντιληψ, δρας, εξουσι, μονοπωλι, ευθυν, κλιμ, αναβολικ, αποδρ, αρχιδικαστ"
καιριδης κωνσταντινου δημητριος,"λιθανθρακ, γερμανι, ηλεκτροπαραγωγ, energiewende, αστραπιαι, απαρατηρητ, κιναλ, παντει, ευθ, περιπλοκ, μεινω, ξεν, πηγ, κανονισμ, αποτελεσματ, χαιρομα, 2038, telemarketing, zohr, ανγκελ"
καισερλης γεωργιου κωνσταντινος,"δημ, πυροσβεστικ, μεταρρυθμις, νησακ, μακριν, αποτελεσματικοτητ, εμαθ, ποιοτητ, διαδικτυ, ευρωπ, κοπ, αξιζ, ξαναμπηκ, φτιαξαν, δωδεκαετ, δωδεκαετι, ζησω, διακυβερνης, κουτοφραγκ, μετραν"
κακλαμανης μιχαηλ νικητας,"2017, νοσοκομει, 10, συνοδιν, σφ, πικπ, ωνασει, επικαλεισθ, 31, ακτινοθεραπει, μιλης, ανακοινωσω, κερδοσκοπικ, παρκ, αθην, απαντης, μαθητρι, εικοσι, θεοχαρ, αγορητ"
κακλαμανης χρηστου αποστολος,"κατεθες, 2002, αναφορ, ζητ, 12, αχαι, ακολουθ, 93, υπ, εγγραφ, δοθηκ, 02, ευβοι, απαντης, επιχορηγης, σχετικ, ας, προγραμματ, 11, ιωανν"
καλαμακιδης ιορδανη ιωαννης,"λουτρ, αιδηψ, τακ, διευκολυν, περιοχ, γεωργι, αυτοτελ, κοινοτητ, κωστ, παρουσιαζ, τας, kοινότητα, ανδρουτσοπουλ, αργυροπουλ, βγοντζ, γερογιανν, γκολφινοπουλ, θεοτοκατ, ιδεαλισμ, ιδιορρυθμι"
καλαματιανος χρηστου διονυσιος-χαραλαμπος,"υποθηκοφυλακ, προυπηρεσι, υπερβαλλ, δημοσι, γνωμοδοτης, εννια, διδασκαλι, δικαστ, ανανεωσετ, ανταποδιδ, υπερβαλλοντ, υποθηκοφυλακει, 2145, προσθετετ, φορολογητε, παρατεινετα, διευκρινιστ, μηχανογραφης, μπ, ερευν"
καλαντζακος γεωργιου αριστειδης,"διαβεβαιωσω, εργασι, οργανισμ, οαεδ, 1876, χαλκιδικ, υπαλληλ, δευτεροβαθμι, καταρτις, 8591, αποτανθ, οργασμ, σωρευοντα, τμηματαρχ, αρκ, αποστολ, επαγγελματικ, γραφει, αναφερομεθ, δημιουργουσαμ"
καλαντζακου αριστειδη σοφια,"ζαχαρ, ναους, θητει, εργοστασι, εργαζ, οπλιτ, βιομηχανι, αμυν, απολυ, κλωστουφαντουργικ, μηνιαι, βιοαιθανολ, κλωστηρι, μειως, κλωστουφαντουργι, παραλυς, οδηγησετ, 2006, ελληνικ, προβληματ"
καλαντζης κωνσταντινου γεωργιος,"2013, σχετικ, 16, θανας, νακ, 2012, δημοκρατι, οικονομικ, κυκλ, νε, τιμ, αριστερ, βολ, πολιτισμ, αναπτυξ, ενωτικ, αθλητισμ, βασιλει, ανακοινωσω, δικτυ"
καλαφατης αθανασιου σταυρος,"περιπετ, αντεχ, παραλογισμ, αποτρεπ, τοπ, πατριωτικ, συγκυβερνης, ελλην, πραγματικ, κλεινω, ακολουθης, βαλ, λειτουργης, αρκετ, ελλαδ, νε"
καλαφατης παναγη αλεξανδρος,"ναυπηγει, 703, 1977, ανταγωνισμ, διανομ, προστιμ, καταγγελι, περιοδικ, αποφας, αιτης, κριτηρι, τυπ, εταιρ, φθαν, ληψ, ιουνι, διεφερ, προαναφερεστ, συμμορφωνοντα, σωρευτ"
καλλιωρας δημητριου ηλιας,"τιτλοποιης, βιβλ, eads, 37, επετρεψ, οραματ, εφημεριδ, σημιτ, μελλοντικ, μαυρ, 26η, 750000000, dasa, απηργης, αυτοβουλ, μοιραζοντ, περιελαβαμ, σκορδαλι, συντρωγ, eurofighter"
καλογιαννης ελευθεριου σταυρος,"εκπομπ, τροποποι, γενετικως, αερι, σπορ, θερμοκηπι, χω, εθνικ, κιοτ, οδηγι, κλιματικ, πρωτοκολλ, μετρ, κτηρι, ανθρακ, ενεργειακ, ευρωπαικ, εμπορι, μεγατον, χωροταξικ"
καλος βασιλειου γεωργιος,"μαγ, χρονιαρ, δωρ, παντ, φερν, προυπολογισμ, 1999, τελ, αδικι, οντως, φτας, ανακηρυσσουμ, βαλτασαρ, γκασπαρ, διαδικας, εννιαρι, ευφι, μαγειρε, μελχιορ, μοιαζετ"
καματερος ιωαννη ηλιας,"ελπιζουμ, πιεζ, καρτ, δυναστ, δος, κοσμ, επιχειρηματι, προσφυγικ, λογαριασμ, ιδεολογι, συσχετισμ, εφαρμοσουμ, κινηθ, δανειστ, πετυχουμ, χρης, σταδιακ, εφαρμος, δωδεκα, αυτοκτον"
καμινης βασιλειου γεωργιος,"ασυλ, μουζαλ, επιστροφ, αναστολ, αιτηματ, απροβλεπτ, εκτακτ, ακουσουμ, προσωριν, δηλως, επιτρεπετα, ισχυ, push, μαροκιν, μαχρεμπ, μελιγι, πηδηξ, υποβαλλοντ, τουρκι, περιπτως"
καμμενος ηλια παναγιωτης (πανος),"λιγνιτ, δε, τζιβ, mw, ενεργει, βληματ, τροικα, μυθ, κοιτασματ, τροχαι, τον, δωριζοντα, ντιζελ, μοναδ, υδροηλεκτρικ, ορυχει, ελληνικ, αμυν, αιγαι, αμυνται"
καμμενος κωνσταντινου δημητριος,"νομισμ, διπλ, ακινητ, ελλαδ, iou, ious, αραβ, εργασι, τεχνικ, σοιμπλ, γιουνκερ, εξυπν, μισθοδοσι, ενοικι, σεβομα, δινω, συγκυβερνης, φτιαξουμ, δημιουργικ, δημοσι"
κανελλη χρηστου γαρυφαλλια (λιανα),"πατριδ, εξωτερικ, αμειβ, πληροφορι, παρμενι, λιρ, νορβηγι, wall, καθησυχασετ, παραγωγ, the, κροατι, βολικ, κεντρ, καναλι, στρατευματ, ραδιοτηλεοπτικ, 12, ερχεστ, νομικ"
κανελλοπουλος πετρου αθανασιος,"εεργδ, πρ, 1982, 1983, αθ, νοβ, 42, 1981, μετρω, 40, 1984, 41, κοσκωτ, 353, νοβ32, πειρ, 1988, 3044, διαπλαστικ, εκφασισμ"
κανελλοπουλου αθανασιου κρινιω,"μουσει, κομματι, ευκολ, αναφερθηκ, δημιουργειτα, ατιολογικ, σκοπευω, αρχην, τατουλ, χουρμουζιαδ, απαντηθηκ, θεωρω, διαμαχ, ασκηθηκ, δημοσι, προστατευετα, ευελιξι, διαφορετικ, συμβας, αυτονομ"
