member_name,top_keywords
γιαννος κρανιδιωτης,"ακινητ, παρις, παροικι, κτιρι, κοινοτητ, γαλλικ, φραγκ, συλλογ, πενταετι, υποχρεως, ανακαινις, επισκευ, εξωτερικ, παρισι, ελληνικ, παρεχωρης, ον, κυπρ, στεγας, στεγ"
γιαταγανα θεοδωρου χρυσουλα-μαρια,"μετρα, μιλαω, πρωθυπουργ, θεματ"
γιατρακος γεωργιου κωνσταντινος,"εισπραττετα, τσοβολ, 56, βιαζεσθ, διασπαθιστ, εναλογ, εξετραπην, νοσους, παραμυθολογι, καταναλως, 1642, αιθυλικ, βεβαιωνετα, σμπωκ, φρασεολογι, αλλαξω, απεκαλες, επεκταθω, δεκαπενθημερ, καταδικαζετ"
γικονογλου χαραλαμπους μοσχος,"καπνοπαραγωγ, κλεψατ, καπνεμπορ, αποχωρησατ, υπηρετειτα, μιλαγ, απευθυνεστ, ανεπτυξ, ηρθατ, διορις, ψηφισατ, αδιαφορι, εδειξ, ογ, πον, λεγαμ, εθν, τονισω, παρακολουθης, υποχρε"
γιουματζιδης μελετιου βασιλειος,βουλγαρι
γκατζης φιλιππου νικολαος,"επιμελητηρι, επιχειρης, αισχροκερδει, πολιτικ, μικρ, ευθυν, τελικ, αγορ, αυτοαπασχολ, ιδι, μικρομεσαι, σαν, μεγαλ, λπ, συνδρομ, ομοσπονδι, κινητηρ, σα, αυτοαπασχολου, πα"
γκελεσταθης αναστασιου νικολαος,"1999, λεωφορ, θεσσαλονικ, επικοινωνι, μεταφορ, επιβατικ, λεωφορει, οκτωβρι, πυροσβεστικ, οασθ, εξετας, σωματ, αθην, σωστ, εφος, 1η, πολιτικ, λειτουργι, συμβας, αστυφυλακ"
γκερεκου ιωαννη αγγελικη,"μελλον, διοικης, παραδωσουμ, απολυτ, νομοπαρασκευαστικ, αδεδ, χειρ, εκπληξ, δεκαετι, κομματικ, εννοειτ, παιδι, μπορειτ, χωρ, ενδιαφερ, μοντελ, δημοκρατι, ενοι, θεσουλ, λογοδοτησουμ"
γκεσουλης γεωργιου νικολαος,"ολοημερ, νηπιαγωγει, δικατς, σχολει, εξετας, παιδι, ιατρικ, πτυχι, αιτημ, διν, προκειτα, εκπαιδευς, αναγνωρις, ος, προσχολικ, δημοτικ, μαθηματ, δυνατοτητ, γον, σπουδ"
γκικας χαρδουβελης,"τανε, δημοσι, εταιρει, αποπληρωμ, ρευστοποιης, ελληνικ, ταμει, επιχειρηματικοτητ, οφειλ, προτειν, μετοχ, αλληλεγγυως, αναμεταβιβας, αχθ, παρεβης, προιον, περιερχοντα, 515, αναπτυξ, εκδοθεις"
γκιοκας χρηστου ιωαννης,"αθλητισμ, συγγραμματ, φαιν, γηπεδ, ντοπινγκ, βι, χωρ, λαικ, ειδ, γνωμ, αθλητ, επιχειρηματικ, αγων, σπουδαστ, θεωρουμ, ουσι, αθλητικ, παιχνιδι, κουβεντ, σεκιουρι"
γκιουλεκας πετρου κωνσταντινος,"απεκρυπτ, απαλλασς, βαρυν, διερευνης, επιχειρημ, περιμενουμ, δικαστικ, καταλαβ, κατηγορι, αληθει, δουμ, απλ, θελ"
γκοκας ναπολεοντα χρηστος,"πραγματοποιης, προφανως, εργ, λα, ελληνικ"
γκουσκος κωνσταντινου διονυσιος,"παρακολουθουντα, συγκεντρωθ, ενδειξ, προσωπ, σοβαρ"
γλαβινας αθανασιου ιωαννης,"προυποθες, αγροτ, εναπεμειν, εκριθης, τιμολογι, απεμειν, απορριφθηκ, θεραπει, γινω, εκπροθεσμ, αιτης, μεταχειρις, συμφωνω, ις, πραγματι, 2079, απορριφθεντ, αποχωρωντ, εξαναγκασουμ, υπεκυψ"
γλεζος νικολαου εμμανουηλ,"ζητης, ξεπερνα, κουρουμπλ, μοναχ, υποδοχ, ηθ, παναγιωτ, εξηγησω, συγγνωμ, εκκρεμοτητ, οποιοδηποτ, φαρμακ, ορι, βαρ, υγει, ζητημ, προηγ, ειδικ"
γρεγος βασιλειου αντωνιος,"αυγ, χρυς, διαφθορ, λα, τραγικ, διαπλοκ, ελληνικ, μιλαμ, φιδι, καταπολεμης, κουμουτσακ, υπερανω, διεπραξ, δημοκρατι, βενιζελ, εναντιον, ανθρωπ, πασοκ, αμες, ψευδ"
γρηγορακος γεωργιου λεωνιδας,"2012, 2010, μαρι, κωνσταντοπουλ, συκοφαντ, νοεμβρι, μαρκοπουλ, ανδρε, προστιθετα, 65, διανεμηθ, ολοκληρωστ, μιλης, νομοτεχνικ, 1210, αφανταστ, κοδελ, τατσοπουλ, 2009, 1338"
γρηγοριαδης γεωργιου κλεων,"πανδημι, απωλεσετ, ξεχαρβαλως, δανει, μαζ, συνειδητοποιουμ, φερθειτ, εντελως, πιθανοτητ, αυτονοητ, γιατρ, ονομαζετα, esm, σωζ, κρις, οποιαδηποτ, υπερασπιζ, πραξετ, συνεργαστουμ, οφειλουμ"
δαβακης παναγιωτη αθανασιος,"κεντρ, ελληνικ, σπαρτ, ναους, κρατης, 46, σχολ, εκρηκτικ, γεωργι, υποδοχ, αγροτ, διαλογ, επιτευχθ, αντιλαμβανεστ, ζητηματ, γετος, καστορει, κουμπωνετα, μετερχομαστ, χαρτοκιβωτι"
δαιλακης αποστολου σταυρος,"συζητηστ, μοντελ, ειπαμ, ειδικ"
δαμανακη θεοδωρου μαρια,"τροπ, προβλημ, ναρκωτικ, κεθ, χωρ, δυναμ, θεματ, θανατ, προληψ, προγραμματ, διυλιστηρι, επαγγελμ, προβληματ, ειρηνευτικ, πολιτικ, δουμ, εφηβ, παρουσι, λογικ, διυλιστρ"
δαμιανακης νικολαου ευτυχιος,"χειροκροτης, ολυμπιακ"
δαμιανιδης γεωργιου αλεξανδρος,"αυτοκινητ, τζιπ, εισαχθ, αναγνως, κυκλοφορ, καταλαβουμ, φερατ, εκτελωνισμ, επαινεσαμ, καφετερι, κανονικ, βγαιν, αραγ, εξηγησατ, κυβισμ, εξηγης, 400000, προλαβαμ, ευθυν, δασμ"
δαμιανος κλεανθη θεοδωρος,"χαμηλωστ, τον"
δανελλης αθανασιου σπυριδων,"αναπλας, νομιζουμ, πολεοδομικ, οικοδομικ, ετερπς, τετραγων, εργαλει, δομης, πιστευουμ, προβλεφθ, ποσειδωνι, θεσμ, διαταγμ, συνανταμ, θεωρουμ, προεδρικ, περιοχ, εξαιρετικ, μελετ, κορινθ"
δασκαλακης παναγιωτη γεωργιος,"σαν, ελληνισμ, μνημ, εσταθ, παρανοηθ, τακτικιστ, επανεμφανις, πανταχοθ, σωβινισμ, 19ης, διδαχθειτ, εμφανισθ, αναχωματ, αποστολιδ, εξηγω, συνειδητοποιησετ, διευρυνετ, αντικει, ποντιακ, ακριτιδ"
δεικτακης νικολαου γεωργιος,"λαικιζουμ, δωσουμ, παραγωγ, ποτ, μεγαλ, πιθανον, ικανοποιης, πνευμ, ειδ, αγκαθ, αποκαλου, ελαχιστοποιηθ, τυποποιητ, αποδοχ, εκφραζ, αποσταγματοποι, καζανι, μεταποιητ, σαρανταοκταωρ, συγχωρησω"
δελημητσος βασιλειου παναγιωτης,"συγνωμ, μις"
δελης ιωαννη ιωαννης,"κορωνοι, βασιλει, ην, αφηστ, φερνετ, παραδειγμ, ειδικ"
δενδιας σπυριδωνος νικολαος-γεωργιος,"δικαιοσυν, μετασχηματιστ, αφαιρες, ελληνικ, καμψ, χωρ, εξουσι, ρολ, νομοθετικ, διατυπως, πας, ζειτ, αρχ, ευρωπαικ, κοινωνι, δε, αστυνομι, δημοκρατικοτητ, διαφανει, καταθετω"
δερμεντζοπουλος αλεξανδρου χρηστος,"αναθεωρης, συνταγματ, αναθεωρητικ, πολιτευματ, αλλαγ, συνταγματικ, σημαντικ, στεν, αποτελεσματικ, εκλογ, διαμορφ, καταδεικνυ, διαδικασι, πολιτικ, αποτελ, ελλην, ελληνικ, διευκολυνς, δυνατοτητ, δικαστ"
δερμεντζοπουλος χρηστου αλεξανδρος,"ειδαμ, στρατευσιμ, υποχρεως, στρατιωτικ, στρατολογι, προχωρουμ, ακουσαμ, πολιτ, παρεκκλις, εκπληρως, καθοριζοντα, προεκλογικ, δικαιουντα, αοπλ, στρατολογικ, καθοριζετα, στρατευς, ενοπλ, μει, εξαγγελθ"
δεσυλλας γεωργιου αλεξανδρος,"μεταταξ, υπαλληλ, αδεδ, υπηρεσιακ, πλεοναζ, προσωπικ, μεταθες, αποσπας, συμβουλι, πλεοναζοντ, 56, υπηρεσι, κριτηρι, δημοσι, προεδρι, προσφυγ, υπαρχους, αποδυναμων, προεβλεπετ, 1876"
δημαρας θεοδωρου γεωργιος,υπερβ
δημαρας νικολαου ιωαννης,"αεροπορι, ολυμπιακ, εξεταστικ, πολιτικ, υπηρεσι, ευθυνοντα, ενισταντα, χωρ, eurocontrol, μηχανικ, πανελληνι, κωνσταντινιδ, απριλ, δευτερολογησω, διαπλεκ, απλ, 1990, παμ, συλλογ, ευθυν"
δημας kωνσταντινου σταυρος,"διυλιστηρι, ιδιωτικοποιης, rich, επιχειρης, προβληματικ, δολαρι, ελλειμματ, κρινετ, εκατ, πραγματι, ημερομηνι, παρακολουθειτ, προβληματικοποιης, πασοκ, πιο, επιβεβαιως, πεφτ, διαφορ, ελδ, σλογκ"
δημας σταυρου χριστος,"μακεδονικ, βορει, μακεδονι, διαστρεβλωνετ, μακεδον, συνδιασκεψ, αναγνωριστηκ, συνηθιζετ, σκοπιαν, 1977, εθνικοτητ, προσδιοριζοντα, οη, γειτονικ, ονομασι, υιοθετ, κερδιζ, δυστυχως, μονοπωλι, γλωσς"
δημητρακοπουλος αλεξιου αθανασιος,μπορειτ
δημητριαδης κλεανθη δημητριος,"επενδυς, δημοσι, σταθερ, μεγεθυνς, αναπτυξιακ, 2018, διατηρησαμ, πλεονασμ, παραταξ, σταθεροτητ, 2017, εγχωρι, στρατηγικ, οικονομι, συμφωνης, εργαλει, εκποιης, προσημ, αναπτυξ, επιβεβαιωνετα"
δημητριος ελευσινιωτης,"εθνοφυλακ, ταγματ, ενοπλ, κυς, παρερμην, παραμεθορι, εργ, καθοριζ, δυναμ, επιχειρησιακ, 1295, επιχειρης, αμυν, μεταφραζουμ, υπεισερχοντα, απαιτης, διαβαθμις, ευπροσδεκτ, διασταλτικ, εστιαζετα"
δημητριος κρεμαστινος,"7μελές, φρας, ενασχολης, επιστημονικ, προσθετουμ, μελ, αιτιολογ, εκαβ, νοσοκομειακ, αποδεδειγ, προσθεσουμ, συμβουλι, αντικαταστας, επειγους, επιτρεπετα, επιστημον, συνεχιζ, ιατρικ, γιατρ, κλπ"
δημητριος λιακος,"κοινωνικ, προοδευτικ, λογιστηρι, λυς, χωρ, ανακτης, πεδι, ανθρωπ, προυπολογισμ, δυναμ, παγκοσμι, επιπεδ, μεταρρυθμιστικ, μακροπροθεσμ, ρητορικ, στελεχ, αξιοπιστ, σημαντικ, αδικι, διεθν"
δημητριος μανικας,"ημερολογιακ, προσληψ, συμπιπτ, προσπαθησω, θεσω, κατανοητ, θες, ρητ, τεθ, αρχηγ, εκτας, υποψ, μηπως, διαρκει, υπουργικ, χρονικ, αναφερετα, ισχυ, προκειτα, συμβουλι"
δημητριος μαρδας,"διερευνουμ, κρινοντα, γραπτ, δαπαν, προυπολογισμ, αποπληρων, μεταθετουμ, απαντησαμ, χρονικ, γνωριζετ, απαραιτητ, πορ, διαστημ, 125, ταξ, ακολουθηθηκ, μηνιαι, μεταθες, τεσσαρ, επτακοσι"
δημητριος οικονομου,"προεγκρις, μελετ, ερμηνει, μπορους, παραλογ, υλοποιης, νοημ, επηρεαζετα, μελετητικ, αχρηστ, διαφωνης, εγκρις, περιττ, περιπ, σκεπτικ, νομικ, τεχνικ, χρειαστηκ, προσδιοριζ, απαιτουντα"
δημητριος παπαγγελοπουλος,ανησυχειτ
δημος παπαδημητριου,"νομοτεχνικ, ομολογουμενως, αρχισω, προαναφερθ, βελτιως, παπαδημητρι, δημητρ, προτ, διασπορ, εξαρχ, περιστας, απευθυνομα, ελλην, εισηγης, 22, καταθετ, 21, παρους, καταθεσω, αναφερω"
δημοσθενοπουλος βασιλειου δημοσθενης,προτεινετ
δημοσχακης κωνσταντινου θεοφανης,"θαυματοποι, οικονομι, θαυμας, στρως, δανεις, λα, αμερικ, απλοχερ, περιμεν, υπομον, εδως, πολλ, αυξης, γερμανι, καποτε, αφιχθ, βοηθουσατ, ευελπιστειτ, ιωβει, λεφταδ"
δημοσχακης σπυρου αναστασιος (τασος),"ευρηματ, εβρ, εκθεσιακ, ορεστιαδ, σκοπευετ, αναδειξ, χωρ, εργ, στεγαστρ, ταφικ, τυμβ, μελετ, κελυφ, ανατολικ, θρακ, συντηρης, νομαρχι, ανασκαφ, μακεδονι, υλικ"
διαμαντης δημητριου κωνσταντινος,"επιτρεπετ, διακοπ"
διαμαντιδης δημητριου ιωαννης,"ασφαλει, λι, πλοι, οχηματ, επιβατ, λιμενικ, κατοικ, σαλαμιν, περιοχ, επιβαρυνοντα, νησι, παρατηρης, λιμαν, ιδιωτ, ναυτικ, εμπορικ, αρχ, διευκρινισθ, ρεστ, συγκοινωνι"
διαμαντοπουλος περικλη ευαγγελος,"αγροτικ, καστορι, φτας, εργαλει, ιχνηλασιμοτητ, πγ, ελγ, τραπεζ, πληθυσμ, αγροτοδιατροφικ, συμπλεγμ, εθιαγ, καλλιεργης, μεθοδ, σπορ, δημητρ, υπερογκ, κοσμ, ασφυκτικ, προιοντ"
διαμαντοπουλου δημητριου αννα,"βιομηχανι, επαγγελματικ, χωρ, επιχειρης, διευθυνς, προγραμμ, αξιολογητ, δικαιωματ, επιλογ, μεγαλ, ιρλανδι, εξειδικευ, πολλ, περιφερειακ, ποιοτητ, υλοποιηθ, διαταγματ, συναινες, επιχειρησιακ, παπαφιλιππ"
διγαλακης βασιλειου βασιλειος,"φοιτητ, μεθοδ, αποστας, πανεπιστημι, εξ, εξεταστ, υπολογιστ, μαθηματ, συγκλητ, εκπαιδευς, συμφων, προγραμμ, αποκλεισμ, διαμορφων, παραδοσιακ, ου, ενδιαφεροντ, συμπληρως, ανοιξ, μαι"
δουκας γεωργιου πετρος,"αποκτησαμ, ολυμπιακ, ξοδεψατ, συγχαρητηρι, εργ, αγων, εξοπλισμ, επιστολ, σπαταλ, συγχρηματοδοτ, τελευται, πληρωσουμ, 45000000, εκπλειστηριαστηκ, εργαστηρι, 3000000, εργαστηκ, συνετ, τοκ, πικπ"
δραγασακης ανδρεα ιωαννης,"θεματ, εργαζ, λιμανι, προβλημ, πειραι, ελεγχ, υπαρξ, ρυθμις, προβληματ, τελικ, μηχανισμ, λιμαν, σκοπι, βελτιως, πολιτικ, αποψ, χρηματιστηρι, ρολ, πολλ, ιδιωτικοποιης"
δρεττακης γεωργιου εμμανουηλ,"93, κατεθες, εγγραφ, ακολουθ, υπ, δοθηκ, 22393, απαντης, αναφορ, αρχει, απαντ, σχετικ, αρ, πληροφορουμ, 22, ζητ, δημοσιευμ, γενικ, κοκκινοβασιλ, αραβαν"
δριβελεγκας κωνσταντινου ιωαννης,"αγορητ, 2014, ειδικ, ξηροτυρ, αγορητρι, μαρτι, αρωματικ, οριζ, δημοκρατικ, συζητηθ, αλκοολ, θεσσαλονικ, ανεξαρτητ, αρβανιτ, μαθητ, κλιματικ, ραχηλ, συνδεσμ, γνωριζομαστ, δεκαπεντε"
δριτσας παναγιωτη θεοδωρος,"κατευθυνς, εγκληματ, ρυθμις, ανθρωποτητ, σχετικ, αντιρρησι, πολεμ, ειδικ, πλοηγικ, ζητηματ, πολλ, πιο, γενικ, σχες, ελληνικ, ποντιακ, διαγωνισμ, περιπτως, ελληνισμ, ημεροπλοι"
δροσογιαννης δημητριου αντωνιος,"ξερ, γνωστ, λα, ελληνικ"
δρυς γερασιμου γεωργιος,"γεωργι, προυπολογισμ, συγγρ, κτηματ, 1992, αγροτικ, δαπαν, αυξης, αγροτ, λογιστ, ταξ, φοροτεχνικ, ομορ, δραχμ, κοινοτικ, οικονομι, 1991, προιοντ, αναγκαι, αεπ"
εβερτ αγγελου μιλτιαδης,"γιατρ, ιατρει, αγροτικ, καναμ, δωσαμ, ειδικοτητ, φωτοπουλ, κεν, αφθον, στρατευσιμ, βρισκετ, ροκοφυλλ, δυνατοτητ, υγει, θες, προσληφθ, προσληψ, συγκεκρι, μαν, ξεχας"
ελευθεριαδου παυλου σουλτανα,"διακοπτ, δευτερολογι, αρμοδι, απαντης"
εμινιδης κωνσταντινου σαββας,"επιχειρηματικοτητ, δανει, ετε, τραπεζ, ταμει, 250000000, 800000000, χαμηλοτοκ, αναπτυξιακ, εδρ, αναπτυξ, ρευστοτητ, εσπα, προβολ, ευνοικ, προκηρυξ, επενδυτικ, μικρομεσαι, 180000000, 35000000"
εμμανουηλιδης ιωαννη δημητριος,"παραβατικ, πολιτισμικ, καταστροφ, ανθρωπ, μακροχρον, φορτσακ, τιμωρητικ, επιεικει, κασσανδρ, λυπηρ, πιστευ, κορων, στας, ευαισθησι, πολιτισμ, ανθρωπιν, εξουσι, βαθι, δεικτ, βενιζελ"
εξαρχος θεοδωρου βασιλειος,"επιβεβαιωνετ, νηφαλιοτητ, μεχρ, διεξαγετα, εξαρς, ελεγ, κατανοητ, υπενθυμισω, συμφωνης, κατασκευ, εξω, βαθμ, ορις, εργ, πολλ, πολιτικ"
ευθυμιος χριστοδουλου,"αποκλειω, δυνατοτ, γινοντους, συναλλαγματικ, δυσκολ, συζητουμ, θεματ, τελειων, αισιοδοξ, ρεαλιστικ, συνεπ, καταστας, συμπερασμ, γενικ, πολιτικ, χρειαστ, εφαρμοζ, 4909παίρνουν, αργουσαμ, εξακολουθησουμ"
ευθυμιου δημητριου πετρος,"συνθηκ, τραυματιστ, ιστορι, χρ, πολεμ, καιρι, ευθυν, προνομι, συμβολ, εθνικ, δημοκρατι, αξιοπιστι, 2102009, αποκαταστησω, γροσι, εβαιν, ηροδοτ, θουκυδιδ, καταφανηκ, πτωχ"
ευμοιριδης γεωργιου κωνσταντινος,"κτηνιατρ, φαρμακ, πουλα, ζω, κτημ, κτηνιατρικ, εξεταζ, 120από, εξεταζω, ψοφης, αστικ, περιοχ, εξετασω, σταβλ, παρεμφερ, πωλ, μαγαζ, διαλεξ, κατεβ, ανεβας"
εφραιμογλου δημητριου λαζαρος,"πετρελαιοειδ, οιοδηποτ, υγρ, συγκροτηματ, τελωνειακ, 7351μιεύουν, 794, αποτασελιδ, αποταμιευ, 343, ελευθερ, δυναντα, παραγωγ, ισχυ, ερθουμ, εταιρι, εοκ, εναρμονις, προτεινω, απασχολ"
ζαγοριτης γερασιμου ελευθεριος (λευτερης),βοηθης
ζακολικος χρηστου παυσανιας,"επιχειρησιακ, αποβατικ, αλωνιζ, βλεψ, κανατ, τουρκι, ακαταλληλ, στολ, επιθετικ, τουρκ, τουρκικ, ευθυν, νατ, δηλως, αιγαι, 2286ότι, fir, δημοσθενοπουλ, επιλεγαμ, επιτεθ"
ζαμπουνιδης δημητριου νικολαος,"θρακ, ρημαξ, φυγ, τριαντα, κανατ, ανθρωπ"
ζαννας γρηγοριου ζησης,"αναφορ, νικολοπουλ, επιστολ, νικολα, αχαι, ας, πολυτεκν, αιτημ, παρακαλεισθ, προωθης, ανασυγκροτης, ηλει, παρακαλουμ, εθελοντ, θρησκευματ, κατεθες, gennet, ελο, οικογεν, γιανν"
ζαφειροπουλος γεωργιου ιωαννης,"εκκαθαρις, δραχμ, οργανισμ, εκατον, εικοσι, finance, ετβ, αφαιρειτα, υποχρεωθηκ, πληρωθηκ, αφαιρ, περιελθ, θυγατρικ, παπαγεωργι, διατεθ, πραγματοποιης, επρεπ, δικηγορ, αναθες, φθαν"
ζαφειροπουλος μιχαηλ επαμεινωνδας,"κλας, δοξαρ, χορευουμ, ολυμπιονικ, παρακολουθειτα, σεγ, σακουλ, δικηγορ, ανδρεουλακ, πραγματι, ποινικ, εισαγγελε, αγγιζ, λα, νομοθετημ, κυρ, διωξ, εκαστοτ, συνεδρι, 672μεταξύ"
ζαχαρακης θεοδωρου κωνσταντινος,"πληροφορι, παρανομης, σκοπιαν, σαν, επεμβ, εργαστ, θελης, δρομ, παπανδρε, επιστολ, ακολουθουμ, ειρην, δυναμικ, συνδικαλιστ, θελ, δεχομαστ, δε, ιδι, χωρ, επιβολ"
ζαχαριας παναγιωτη κωνσταντινος,"υγει, παροχ, force, task, οριζοντι, υποκρυπτ, φανερ, εικοστ, φροντιδ, 2013, υπαλληλικ, claw, ημερολογιακ, στo, back, ολοφανερ, δρας, μεταρρυθμις, εξαγγελθ, δαπαν"
ζειμπεκ χασαν χουσειν,"εκπαιδευτικ, μειονοτικ, κες, σχολικ, εκπαιδευς, συντονιστ, κεδδ, ανασυγκροτης, επιμορφως, πεκ, προγραμματ, εργ, ομαλοποιης, υποστηριζ, διδασκοντ, γνωματευς, μαθητ, υποστηριξ, αποτιμης, αξιολογης"
ζηση αθανασιου ροδουλα,"αγορητ, συναγερμ, ορθοδοξ, κομμουνιστικ, ειδικ, συζητειτα, λαικ, κωλυματ, διαγραφετα, 109, πασοκ, ομαδ, λαβ, αθανασι, 32, ελλαδ, συνολ, τζελεπ, τησνομοθετικ, επταμις"
ζιωγας ηλια ιωαννης,"μεταπτυχιακ, σπουδ, διδακτρ, προγραμματ, εξωραι, φοιτητ, ενως, σει, διδακτορ, υπογραμμιζετα, λειτουργι, ιδρυματ, τμηματ, γνως, χωρ, ευρωπαικ, αξιολογης, προσαρμογ, νομιμοποιειτα, αμοιβ"
ζωης κωνσταντινου χρηστος,"αεροπορι, εργ, ολυμπιακ, ασθενοφορ, εμπιστοσυν, περιελθ, επικεφαλ, κυβερνητικ, δωσω, αμφιβολι, ερειζοντα, επιχειρηματ, αρδευτικ, αιτωλοακαρνανι, σπασιμ, επιτρεψετ, ταξινομης, οπωσδηποτε, εξεταστικ, ενστας"
ζωιδης ηλια νικολαος,"περιβαλλοντικ, αδειοδοτης, α2, α1, διαδικασι, σκανδαλ, εκτας, εξεταστικ, περιβαλλοντ, πολιτ, δημοσι, κατηγορι, ος, προασπις, λιμν, στυλιανιδ, μεθοδευς, περιγραφ, κεφαλαι, διακινηθηκ"
ηγουμενιδης εμμανουηλ νικολαος,"επιτρεπουμ, συνεργατ, προτειν, τελικ, δημοκρατι"
ηλιοπουλος κωνσταντινου παναγιωτης,"παιδει, σταυροφορι, τζιχαντιστ, αξιολογησετ, μουσουλμαν, διαγραψετ, παραξ, αξιολογησουμ, σχολιαζ, παπαθεοδωρ, δημαρ, αυγ, εθνικ, εθν, μαρτι, χρυς, 25η, αλφαβητ, ανατιναζετα, ανατιναχθ"
θαλασσινος πετρου θαλασσινος,"σαμ, προυπολογισμ, οικονομι, στοχευς, πυθαγορει, 2009, στηριξ, οικονομικ, υπευθυν, πιστως, επιδομ, αξιζ, ασθεν, εργ, δεσμ, συνοπτικ, κοινοτικ, αρχαιολογικ, αναπτυξιακ, αναφερθω"
θανος ιωαννη δημητριος,"ακτινοβολι, επιδρας, κινητ, συχνοτητ, ηλεκτρομαγνητικ, θερμικ, τηλεφων, ατομ, κεντρ, αναπηρι, 2003, διαγνωστ, ερευν, ευαισθητοποιης, προκαλες, οδοντιατρικ, υγει, δημοσκοπης, επιμεινω, σχεδιασμ"
θελεριτη παναγιωτη μαρια,"κινητικοτητ, δημοσι, διοικης, υπαλληλ, οφειλουμ, τομ, αναδιαρθρως, πραγματικ, κλαδολογι, αναγκ, αυτοδιοικης, συστημ, μεταρρυθμις, διαφανει, πλαισι, μετακινης, σειρ, θες, αναφερθουμ, μεταταξ"
θεμιστοκλης ξανθοπουλος,"παραχωρησιουχ, αγρινι, κομβ, οδ, ιονι, περιβαλλοντικ, μακιαβελικ, εκπληξ, δρομ, εργ, καιαφ, φιλιν, μηχανικ, λειπ, ακολουθησαμ, διοδι, σπηλιοπουλ, παραχωρης, 80, παιδει"
θεοδωρακης γεωργιου μιχαηλ (μικης),"μουσικ, ορχηστρ, οπερ, τεχν, δρχ, πολιτιστικ, 0106τί, αλαλ, συνδιοικειτα, δινουμ, ελλειπ, μερι, σκεψ, επιζ, 11, χωρ, 510, καταπληξ, ψιχι, φιλοδοξι"
θεοδωρακης παναγιωτη σταυρος,"σουδ, αμυν, σχολει, αμυντικ, τσιπρ, εκσυγχρονισμ, αποσπας, ανταλλαγματ, καθηγητ, δυναμ, αεροσκαφ, εθνικ, δασκαλ, αρκουμαστ, ψεματ, πανεπιστημι, κομματικ, ενοπλ, αμερικ, αποφασιζ"
θεοδωρος κασσιμης,"επαγγελματ, τουριστικ, αρχην, σχολ, παρακολουθησω, ημεδαπ, δωματι, ξεχνατ, λογικ, αρχισουμ, μαγκριωτ, 1986, ροδ, πτυχι, ευχαριστησω, διαγραφετα, ισοτιμ, περιμεναμ, οπωσδηποτε, αλλοδαπ"
θεοδωρος κατριβανος,"αποβλεπ, διζ, τελεσφορης, 150, εξορμης, ματαιωθ, γνωστ, δυνατ, προτας, αρνουμα, επιφανειακ, ματαιως, δημιουργης, συμφωνι, καταγγελλω, δεχθω, επιδιωκετα, επαναφορ, ατμοσφαιρ, συν"
θεοδωρος παπαθεοδωρου,αριστοτελ
θεοδωρου αλεξανδρου χρηστος,"ανταγωνισμ, εφετ, καταναλωτ, ποιοτητ, λειτουργησουμ, επεκτεινουμ, διαπιστ, επισκεφθηκ, ενισχυς, εξηγγειλ, παρατηρητηρι, ειδ, τιμ, αγορ, ακουσω, ακουγ, κυκλοφορ, ελλην, προστατευς, υγι"
θεοχαρης αθανασιου θεοχαρης (χαρης),"δικαιοσυν, φτωχει, πληροφοριακ, κοινωνικ, ψεμ, στοχ, χωρ, αυξης, 2017, γινοντους, 27, κοστ, ακαταλληλ, ξερατ, ανεργ, αλληλεγγυ, θελατ, αποδειχθηκ, συστημ, προσληψ"
θεοχαροπουλος στεφανου αθανασιος,"εκπαιδευς, προσφυγ, μουζαλ, διαπολιτισμικ, οη, συγκεκρι, προσφυγικ, εκπαιδευτικ, ιδιωτικ, μαθητ, σχολει, παιδι, ρο, επιπεδ, αριστει, ευρωπαικ, ζητηματ, κρις, δαπαν, πραγματι"
θεωνας γρηγοριου ιωαννης,"συμπεραινετ, εφαρμοστηκ, μακαρι, ψεματ, νομοτεχνικ, διαβας, βαθμ, κανατ, βελτιως, μεγαλ"
θωμα αλεξιου μαρια,"ακολουθειτ, ελλειμματ, πολιτικ"
θωμοπουλος πετρου ιωαννης,"αιγιαλ, κλαδ, παραλι, περιλαμβανετα, βιομηχανικ, 27, εξειδικευω, νομοθετω, υδατοκαλλιεργητικ, ιχθυοκαλλιεργ, παρακει, πυθ, εμπορικ, αναφερ, ανασταλτικ, αιτημ, ναυτιλιακ, 30, δυναμικ, μπ"
ιγνατιαδης γεωργιου θεοδωρος,"τοποθετηθουμ, πολλ"
ιντζες γεωργιου αναστασιος,"συμφωνω, ζητω, διαδικασι"
ιωαννης μουζαλας,"σπιτακι, καθαρις, unhcr, κατασκευ, αφρικ, φιλοξενι, camp, echo, ντυ, νυφουλ, ξανανοιξ, προαναχωρησιακ, δικι, βουδουρ, αναθες, κικιλι, χτις, διατεθει, ζητηθηκ, αλληλεγγυ"
ιωαννης παλαιοκρασσας,"φορολογικ, αυξης, φοροδιαφυγ, διασταυρως, περιειχ, δαπαν, εσοδ, καταφεραμ, εκατ, εδηλων, κεπυ, αυτοκινητ, συντελεστ, εγγυης, καναμ, τομ, αυξησαμ, δειγματοληπτικ, κληρονομησαμ, πρωτ"
ιωαννης σουλαδακης,"τιμολογι, υποβαλ, φας, αποκαταστας, ηλει, αχαι, ποταμ, πραγματικοτητ, νερ, αποκαταστησαμ, παροχετευς, 100, 40, ζημι, επαλληλ, 4500, ανταποκρινοντ, γεωμετρικ, διαμετρ, 8000"
